LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,ASSET_RATING,ASSET_RATING_BAND,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,NEW_BUILD_BENCHMARK,EXISTING_STOCK_BENCHMARK,BUILDING_LEVEL,MAIN_HEATING_FUEL,OTHER_FUEL_DESC,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,FLOOR_AREA,STANDARD_EMISSIONS,TARGET_EMISSIONS,TYPICAL_EMISSIONS,BUILDING_EMISSIONS,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,LODGEMENT_DATETIME,PRIMARY_ENERGY_VALUE,UPRN,UPRN_SOURCE
141201308252019011010472701979348,UNIT 6,Quadrant Arcade,80-82 Regent Street,W1B 5HB,388381040007,89,D,A1/A2 Retail and Financial/Professional services,2018-11-20,E09000033,E14000639,Greater London Authority,2019-01-10,Mandatory issue (Property on construction).,24,69,3,Grid Supplied Electricity,,,,118,82.5,38.9,113.98,146.5,No,,,4,Heating and Natural Ventilation,"UNIT 6, Quadrant Arcade, 80-82 Regent Street",Westminster,Cities of London and Westminster,LONDON,2019-01-10 10:47:27,,,
140812880922018121815185980920833,UNIT 7,Quadrant Arcade,80-82 Regent Street,W1B 5HB,388381040003,110,E,A1/A2 Retail and Financial/Professional services,2018-12-18,E09000033,E14000639,Greater London Authority,2018-12-18,Mandatory issue (Property to let).,26,69,5,Grid Supplied Electricity,,,,247,59.01,30.58,81.54,129.84,No,,,4,Heating and Mechanical Ventilation,"UNIT 7, Quadrant Arcade, 80-82 Regent Street",Westminster,Cities of London and Westminster,LONDON,2018-12-18 15:18:59,,,
140815588912018121815272701929348,UNIT 2,Quadrant Arcade,80-82 Regent Street,W1B 5HB,388381040002,122,E,A1/A2 Retail and Financial/Professional services,2018-12-18,E09000033,E14000639,Greater London Authority,2018-12-18,Mandatory issue (Property to let).,26,70,5,Grid Supplied Electricity,,,,110,62.59,33.05,88.13,152.35,No,,,4,Heating and Mechanical Ventilation,"UNIT 2, Quadrant Arcade, 80-82 Regent Street",Westminster,Cities of London and Westminster,LONDON,2018-12-18 15:27:27,,,
140510748032018120917413379900695,,187-191 Regent Street,,W1B 4JP,459962340000,63,C,A1/A2 Retail and Financial/Professional services,2018-12-03,E09000033,E14000639,Greater London Authority,2018-12-09,Mandatory issue (Marketed sale).,31,89,4,Grid Supplied Electricity,,,,835,60.95,37.22,109.08,76.36,No,,,4,Air Conditioning,187-191 Regent Street,Westminster,Cities of London and Westminster,LONDON,2018-12-09 17:41:33,,,
981860062018110920184901230760,,Linen Hall,162-168 Regent Street,W1B 5TF,609363190000,97,D,B1 Offices and Workshop businesses,2018-07-23,E09000033,E14000639,Greater London Authority,2018-11-09,Mandatory issue (Property to let).,30,79,5,Natural Gas,,,,7901,25.18,14.89,39.72,48.74,No,,,4,Heating and Natural Ventilation,"Linen Hall, 162-168 Regent Street",Westminster,Cities of London and Westminster,LONDON,2018-11-09 20:18:49,,,
14507300062018103116114265090910,,138 Regent Street,,W1B 5SG,166200540000,28,B,A1/A2 Retail and Financial/Professional services,2018-01-01,E09000033,E14000639,Greater London Authority,2018-10-31,Mandatory issue (Marketed sale).,32,93,4,Grid Supplied Electricity,,,,1382,61.45,39.08,114.53,34.73,No,,,4,Air Conditioning,138 Regent Street,Westminster,Cities of London and Westminster,LONDON,2018-10-31 16:11:42,,10033542243,Address Matched
118237923212018072616070608909171,,63 Regent Street,,W1B 4DY,118238470000,50,B,A1/A2 Retail and Financial/Professional services,2017-12-22,E09000033,E14000639,Greater London Authority,2018-07-26,Mandatory issue (Property to let).,25,73,3,Grid Supplied Electricity,,,,30,102.17,51.03,149.55,102.64,Yes,,1.0,4,Air Conditioning,63 Regent Street,Westminster,Cities of London and Westminster,LONDON,2018-07-26 16:07:06,,10033613394,Address Matched
135480680022018070912172891030770,,Claudie Pierlot,124 Regent Street,W1B 5SB,798689110000,87,D,A1/A2 Retail and Financial/Professional services,2018-07-03,E09000033,E14000639,Greater London Authority,2018-07-09,Mandatory issue (Non-marketed sale).,30,87,3,Grid Supplied Electricity,,,,140,59.19,35.08,102.8,102.49,Yes,,1.0,4,Air Conditioning,"Claudie Pierlot, 124 Regent Street",Westminster,Cities of London and Westminster,LONDON,2018-07-09 12:17:28,,200002349952,Address Matched
17493240062018020919170060230672,OFFICES,229-247 Regent Street,,W1B 2EG,765049030002,125,E,B1 Offices and Workshop businesses,2017-07-26,E09000033,E14000639,Greater London Authority,2018-02-09,Mandatory issue (Property to let).,52,140,5,Grid Supplied Electricity,,,,12507,24.23,25.41,67.76,60.66,Yes,,3.0,5,Air Conditioning,"OFFICES, 229-247 Regent Street",Westminster,Cities of London and Westminster,LONDON,2018-02-09 19:17:00,,,
16085690142017122013172677909900,,249-251 Regent Street,,W1B 2EP,310509970000,51,C,A1/A2 Retail and Financial/Professional services,2017-10-13,E09000033,E14000639,Greater London Authority,2017-12-20,Mandatory issue (Property to let).,29,85,3,Grid Supplied Electricity,,,,932,65.82,38.3,112.23,67.48,Yes,,2.0,5,Air Conditioning,249-251 Regent Street,Westminster,Cities of London and Westminster,LONDON,2017-12-20 13:17:26,,10033542288,Address Matched
